Name	Unified	DoCoMo	KDDI	Softbank	Google
	carp streamer	U+1F38F	-	U+EAE7	U+E43B	U+FE51C
	firework sparkler	U+1F387	-	U+EAEB	U+E440	U+FE51D
	wind chime	U+1F390	-	U+EAED	U+E442	U+FE51E
	jack-o-lantern	U+1F383	-	U+EAEE	U+E445	U+FE51F
	confetti ball	U+1F38A	-	U+E46F	-	U+FE520
	tanabata tree	U+1F38B	-	U+EB3D	-	U+FE521
	moon viewing ceremony	U+1F391	-	U+EAEF	U+E446	U+FE017
	pager	U+1F4DF	U+E65A	U+E59B	-	U+FE522
	black telephone	U+260E	U+E687	U+E596	U+E009	U+FE523
	telephone receiver	U+1F4DE	U+E687	U+E51E	U+E009	U+FE524
	mobile phone	U+1F4F1	U+E688	U+E588	U+E00A	U+FE525
	mobile phone with rightwards arrow at left	U+1F4F2	U+E6CE	U+EB08	U+E104	U+FE526
	memo	U+1F4DD	U+E689	U+EA92	U+E301	U+FE527
	fax machine	U+1F4E0	U+E6D0	U+E520	U+E00B	U+FE528
	envelope	U+2709	U+E6D3	U+E521	U+E103	U+FE529
	incoming envelope	U+1F4E8	U+E6CF	U+E591	U+E103	U+FE52A
	envelope with downwards arrow above	U+1F4E9	U+E6CF	U+EB62	U+E103	U+FE52B
	closed mailbox with lowered flag	U+1F4EA	U+E665	U+E51B	U+E101	U+FE52C
	closed mailbox with raised flag	U+1F4EB	U+E665	U+EB0A	U+E101	U+FE52D
	postbox	U+1F4EE	U+E665	U+E51B	U+E102	U+FE52E
	newspaper	U+1F4F0	-	U+E58B	-	U+FE822
	public address loudspeaker	U+1F4E2	-	U+E511	U+E142	U+FE52F
	cheering megaphone	U+1F4E3	-	U+E511	U+E317	U+FE530
	satellite antenna	U+1F4E1	-	U+E4A8	U+E14B	U+FE531
	outbox tray	U+1F4E4	-	U+E592	-	U+FE533
	inbox tray	U+1F4E5	-	U+E593	-	U+FE534
	package	U+1F4E6	U+E685	U+E51F	U+E112	U+FE535
	e-mail symbol	U+1F4E7	U+E6D3	U+EB71	U+E103	U+FEB92
	input symbol for latin capital letters	U+1F520	-	U+EAFD	-	U+FEB7C
	input symbol for latin small letters	U+1F521	-	U+EAFE	-	U+FEB7D
	input symbol for numbers	U+1F522	-	U+EAFF	-	U+FEB7E
	input symbol for symbols	U+1F523	-	U+EB00	-	U+FEB7F
	input symbol for latin letters	U+1F524	-	U+EB55	-	U+FEB80
	black nib	U+2712	U+E6AE	U+EB03	-	U+FE536
	seat	U+1F4BA	U+E6B2	-	U+E11F	U+FE537
